,Name,Type,Breed,Color,Sex,Size,Animal ID,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Intake Condition,Intake Jurisdiction,PredomBreed,PredomColor,DOB,IntakeDate,IntakeAge,IntakeAgeYrs
64,,CAT,DOMESTIC SH,BRN TABBY/WHITE,Male,SMALL,A377171,12,STRAY,FIELD,EUTHANIZE,UNTREATABLE,COUNTY,DOMESTIC SH,BROWN,,2018-10-01,,-1.0
65,SIERRA,DOG,CATAHOULA/MIX,GRAY,Female,MED,A361537,7,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,SANTA ROSA,CATAHOULA,GRAY,2016-11-29,2018-09-05,645 days 00:00:00.000000000,1.77
66,*MARIA,CAT,DOMESTIC MH,WHITE,Female,SMALL,A372638,12,STRAY,OVER THE COUNTER,EUTHANIZE,UNKNOWN,SANTA ROSA,DOMESTIC MH,WHITE,2015-05-30,2018-05-18,1084 days 00:00:00.000000000,2.97
67,COOPER,CAT,DOMESTIC LH,GRAY TABBY/WHITE,Neutered,SMALL,A215229,8,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,*HEALDSBURG,DOMESTIC LH,GRAY,2008-04-23,2019-03-12,3975 days 00:00:00.000000000,10.89
68,*MARY,CAT,DOMESTIC SH,BLACK,Female,KITTN,A376234,54,STRAY,COMM CAT,EUTHANIZE,UNTREATABLE,COUNTY,DOMESTIC SH,BLACK,2018-07-21,2018-09-21,62 days 00:00:00.000000000,0.17
69,,CAT,DOMESTIC SH,TORTIE/BLUE CREAM,Female,SMALL,A377245,9,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,SANTA ROSA,DOMESTIC SH,TORTIE,,2018-10-04,,-1.0
70,,CAT,DOMESTIC LH,BRN TABBY,Neutered,SMALL,A379785,0,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,SANTA ROSA,DOMESTIC LH,BROWN,,2018-11-14,,-1.0
72,,OTHER,BAT,BLACK,Unknown,SMALL,A374242,0,QUARANTINE,FLD_STRAY,EUTHANIZE,UNKNOWN,SANTA ROSA,BAT,BLACK,,2018-06-25,,-1.0
73,KODA,DOG,SIBERIAN HUSKY,WHITE/BROWN,Male,MED,A366424,208,STRAY,FIELD,EUTHANIZE,UNTREATABLE,SANTA ROSA,SIBERIAN HUSKY,WHITE,,2017-12-23,,-1.0
74,,DOG,SIBERIAN HUSKY/LABRADOR RETR,WHITE/BLACK,Male,LARGE,A374848,26,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,COUNTY,SIBERIAN HUSKY,WHITE,,2018-07-20,,-1.0
75,,DOG,PIT BULL,BLACK,Male,LARGE,A375168,11,STRAY,OVER THE COUNTER,EUTHANIZE,UNKNOWN,SANTA ROSA,PIT BULL,BLACK,,2018-08-04,,-1.0
77,WHITE,CAT,DOMESTIC SH,WHITE,Male,SMALL,A376032,0,STRAY,OVER THE COUNTER,EUTHANIZE,UNKNOWN,COUNTY,DOMESTIC SH,WHITE,,2018-09-13,,-1.0
78,,CAT,DOMESTIC SH,BLACK,Unknown,KITTN,A376036,0,STRAY,COMM CAT,EUTHANIZE,UNTREATABLE,COUNTY,DOMESTIC SH,BLACK,,2018-09-13,,0.5
79,BLACK,CAT,DOMESTIC SH,BLACK,Unknown,KITTN,A376046,0,STRAY,OVER THE COUNTER,EUTHANIZE,UNKNOWN,COUNTY,DOMESTIC SH,BLACK,,2018-09-13,,0.5
80,,CAT,DOMESTIC SH,BLACK,Unknown,KITTN,A376028,0,STRAY,OVER THE COUNTER,EUTHANIZE,UNKNOWN,COUNTY,DOMESTIC SH,BLACK,,2018-09-13,,0.5
81,,CAT,DOMESTIC SH,GRAY/WHITE,Female,SMALL,A385051,0,STRAY,OVER THE COUNTER,EUTHANIZE,UNKNOWN,SANTA ROSA,DOMESTIC SH,GRAY,,2019-03-21,,-1.0
82,,CAT,DOMESTIC LH,WHITE/BROWN,Neutered,SMALL,A374241,1,STRAY,FIELD,EUTHANIZE,UNTREATABLE,SANTA ROSA,DOMESTIC LH,WHITE,,2018-06-25,,-1.0
83,BOGEY,DOG,BORDER COLLIE,BLACK/WHITE,Neutered,MED,A309775,30,CONFISCATE,FLD_ARREST,TRANSFER,HEALTHY,SANTA ROSA,BORDER COLLIE,BLACK,2012-08-05,2018-10-16,2263 days 00:00:00.000000000,6.2
84,,OTHER,CHICKEN,RED,Female,SMALL,A373233,0,STRAY,FIELD,EUTHANIZE,UNTREATABLE,SANTA ROSA,CHICKEN,RED,,2018-06-01,,-1.0
85,,OTHER,BAT,BROWN,Unknown,SMALL,A374851,0,QUARANTINE,OVER THE COUNTER_STRAY,EUTHANIZE,UNTREATABLE,SANTA ROSA,BAT,BROWN,,2018-07-20,,-1.0
86,,DOG,LHASA APSO,GRAY/WHITE,Female,SMALL,A374580,10,CONFISCATE,FLD_CRUEL,EUTHANIZE,UNKNOWN,COUNTY,OTHER,GRAY,,2018-07-10,,-1.0
87,WALKER,DOG,PIT BULL/MIX,BR BRINDLE,Neutered,LARGE,A374428,43,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,HEALTHY,COUNTY,PIT BULL,BROWN,2014-07-24,2018-10-03,1532 days 00:00:00.000000000,4.2
88,,DOG,CHIHUAHUA LH,WHITE,Male,SMALL,A347009,16,STRAY,FIELD,EUTHANIZE,UNTREATABLE,SANTA ROSA,CHIHUAHUA,WHITE,,2017-01-09,,-1.0
89,TINKERBELL,CAT,DOMESTIC MH,CALICO/CALICO,Spayed,SMALL,A375264,35,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,WINDSOR,DOMESTIC MH,CALICO,2009-09-04,2018-08-10,3262 days 00:00:00.000000000,8.94
90,,CAT,DOMESTIC SH,BLACK,Unknown,SMALL,A375919,6,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,COUNTY,DOMESTIC SH,BLACK,2018-05-08,2018-09-08,123 days 00:00:00.000000000,0.34
91,PRINCESS,DOG,CHIHUAHUA SH,BLACK/TAN,Female,TOY,A227378,4,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,UNKNOWN,SANTA ROSA,CHIHUAHUA,BLACK,,2018-05-29,,-1.0
92,,DOG,CHIHUAHUA SH,BLACK/TAN,Male,TOY,A372839,9,STRAY,OVER THE COUNTER,EUTHANIZE,UNKNOWN,WINDSOR,CHIHUAHUA,BLACK,,2018-05-24,,-1.0
93,,DOG,SHIH TZU,WHITE/GRAY,Female,SMALL,A374553,12,STRAY,FIELD,EUTHANIZE,HEALTHY,SANTA ROSA,SHIH TZU,WHITE,,2018-07-09,,-1.0
95,,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,KITTN,A374273,1,STRAY,OVER THE COUNTER,EUTHANIZE,UNKNOWN,WINDSOR,DOMESTIC SH,BLACK,,2018-06-26,,0.5
96,,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,KITTN,A376082,0,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,COUNTY,DOMESTIC SH,BLACK,,2018-09-14,,0.5
97,,CAT,DOMESTIC SH,BRN TABBY,Unknown,KITTN,A374274,1,STRAY,OVER THE COUNTER,EUTHANIZE,UNKNOWN,WINDSOR,DOMESTIC SH,BROWN,,2018-06-26,,0.5
98,,CAT,DOMESTIC SH,TORTIE,Female,KITTN,A374276,1,STRAY,OVER THE COUNTER,EUTHANIZE,UNKNOWN,WINDSOR,DOMESTIC SH,TORTIE,,2018-06-26,,0.5
99,,CAT,DOMESTIC SH,BRN TABBY,Unknown,SMALL,A333725,0,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,WINDSOR,DOMESTIC SH,BROWN,,2016-03-02,,-1.0
100,,CAT,DOMESTIC SH,FLAME PT,Female,SMALL,A373369,0,STRAY,FIELD,EUTHANIZE,UNTREATABLE,COUNTY,DOMESTIC SH,OTHER,,2018-06-04,,-1.0
101,,DOG,PIT BULL,BR BRINDLE/WHITE,Female,MED,A373371,23,STRAY,FIELD,EUTHANIZE,UNTREATABLE,SANTA ROSA,PIT BULL,BROWN,,2018-06-04,,-1.0
102,,CAT,DOMESTIC SH,CALICO,Female,KITTN,A374277,1,STRAY,OVER THE COUNTER,EUTHANIZE,UNKNOWN,WINDSOR,DOMESTIC SH,CALICO,,2018-06-26,,0.5
104,,DOG,CHIHUAHUA SH,TAN,Neutered,TOY,A375398,1,STRAY,FIELD,EUTHANIZE,TREATABLE/MANAGEABLE,COUNTY,CHIHUAHUA,TAN,2003-08-15,2018-08-15,5479 days 00:00:00.000000000,15.01
105,SPARKY,DOG,PIT BULL/BOXER,WHITE/RED,Neutered,MED,A326019,14,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,WINDSOR,PIT BULL,WHITE,2014-02-01,2018-08-02,1643 days 00:00:00.000000000,4.5
106,*EMILIO,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,SMALL,A374810,5,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,HEALTHY,COUNTY,DOMESTIC SH,GRAY,2016-07-25,2018-08-11,747 days 00:00:00.000000000,2.05
108,MAX,DOG,ALASKAN HUSKY,RED/WHITE,Neutered,LARGE,A373208,0,STRAY,FIELD,RETURN TO OWNER,HEALTHY,COUNTY,ALASKAN HUSKY,RED,2017-06-05,2018-06-01,361 days 00:00:00.000000000,0.99
109,,CAT,DOMESTIC SH,BLACK,Female,KITTN,A374305,1,STRAY,OVER THE COUNTER,EUTHANIZE,TREATABLE/REHAB,SANTA ROSA,DOMESTIC SH,BLACK,2018-06-05,2018-06-27,22 days 00:00:00.000000000,0.06
110,,CAT,DOMESTIC SH,BLACK,Male,KITTN,A374304,1,STRAY,OVER THE COUNTER,EUTHANIZE,TREATABLE/REHAB,SANTA ROSA,DOMESTIC SH,BLACK,2018-06-05,2018-06-27,22 days 00:00:00.000000000,0.06
111,*CASSIUS,DOG,PIT BULL,BR BRINDLE/WHITE,Neutered,MED,A379692,22,STRAY,FIELD,TRANSFER,HEALTHY,SANTA ROSA,PIT BULL,BROWN,2017-12-04,2018-11-13,344 days 00:00:00.000000000,0.94
114,,CAT,DOMESTIC SH,BLACK,Male,KITTN,A374314,1,STRAY,OVER THE COUNTER,EUTHANIZE,TREATABLE/REHAB,SANTA ROSA,DOMESTIC SH,BLACK,2018-06-05,2018-06-27,22 days 00:00:00.000000000,0.06
116,,CAT,DOMESTIC SH,BLACK,Female,KITTN,A374306,1,STRAY,OVER THE COUNTER,EUTHANIZE,TREATABLE/REHAB,SANTA ROSA,DOMESTIC SH,BLACK,,2018-06-27,,0.5
117,MAX,DOG,GERM SHEPHERD/MIX,WHITE,Neutered,MED,A333519,6,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,HEALTHY,SANTA ROSA,GERM SHEPHERD,WHITE,2014-11-27,2018-06-22,1303 days 00:00:00.000000000,3.57
118,,CAT,DOMESTIC SH,BLACK,Male,KITTN,A374303,1,STRAY,OVER THE COUNTER,EUTHANIZE,TREATABLE/REHAB,SANTA ROSA,DOMESTIC SH,BLACK,2018-06-05,2018-06-27,22 days 00:00:00.000000000,0.06
119,,CAT,DOMESTIC SH,BLACK/WHITE,Female,SMALL,A373658,0,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,SANTA ROSA,DOMESTIC SH,BLACK,,2018-06-06,,-1.0
121,BILLIE,DOG,PIT BULL,GRAY/WHITE,Spayed,MED,A372734,15,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,COUNTY,PIT BULL,GRAY,2017-03-24,2018-05-22,424 days 00:00:00.000000000,1.16
122,WYNO,DOG,PIT BULL/MIX,BROWN,Male,LARGE,A303305,13,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,*HEALDSBURG,PIT BULL,BROWN,2010-02-27,2014-02-27,1461 days 00:00:00.000000000,4.0
123,LILY,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,A374164,9,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,SANTA ROSA,DOMESTIC SH,BLACK,2016-06-20,2018-06-20,730 days 00:00:00.000000000,2.0
124,ROXIE,DOG,GERM SHEPHERD/BELG MALINOIS,BROWN/BLACK,Female,LARGE,A374037,40,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,COUNTY,GERM SHEPHERD,BROWN,,2018-06-14,,-1.0
125,,DOG,PIT BULL/MIX,GRAY,Male,LARGE,A375124,15,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,SANTA ROSA,PIT BULL,GRAY,,2018-08-02,,-1.0
126,SCOOBY,DOG,CHIHUAHUA SH,BROWN/WHITE,Neutered,SMALL,A375127,15,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,WINDSOR,CHIHUAHUA,BROWN,2003-08-02,2018-08-02,5479 days 00:00:00.000000000,15.01
128,,DOG,CHIHUAHUA SH,BLACK/TAN,Female,TOY,A374218,7,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,SANTA ROSA,CHIHUAHUA,BLACK,,2018-06-22,,-1.0
129,,CAT,DOMESTIC LH,CALICO,Female,SMALL,A373005,9,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,WINDSOR,DOMESTIC LH,CALICO,,2018-05-29,,-1.0
131,,CAT,DOMESTIC SH,BLACK,Unknown,SMALL,A380260,0,STRAY,OVER THE COUNTER,EUTHANIZE,UNKNOWN,WINDSOR,DOMESTIC SH,BLACK,,2018-11-17,,-1.0
132,,OTHER,BAT,BROWN,Unknown,SMALL,A375167,0,QUARANTINE,FLD_STRAY,TRANSFER,UNKNOWN,COUNTY,BAT,BROWN,,2018-08-06,,-1.0
133,,OTHER,CHICKEN,WHITE,Female,SMALL,A377134,2,CONFISCATE,FLD_ARREST,EUTHANIZE,UNKNOWN,COUNTY,CHICKEN,WHITE,,2018-09-29,,-1.0
134,,DOG,GERM SHEPHERD,CREAM,Male,LARGE,A373023,10,STRAY,FIELD,EUTHANIZE,UNTREATABLE,*SONOMA,GERM SHEPHERD,CREAM,,2018-05-29,,-1.0
135,,CAT,DOMESTIC SH,BLACK,Unknown,KITTN,A373918,0,STRAY,OVER THE COUNTER,EUTHANIZE,UNTREATABLE,COUNTY,DOMESTIC SH,BLACK,,2018-06-08,,0.5
