Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count,Zip Codes
HAZEL,DOG,PIT BULL,BLUE,Female,MED,,K19-031178,DA33,A383463,01/12/2019,01/31/2019,19,STRAY,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,UNKNOWN,UNTREATABLE,SANTA ROSA,,,,1,
,CAT,DOMESTIC SH,TORTIE,Spayed,SMALL,,K18-028718,SMM,A374149,06/20/2018,06/20/2018,0,STRAY,FIELD,EUTHANIZE,INJ SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1,
,DOG,GERM SHEPHERD,BLACK/TAN,Male,LARGE,,K18-028234,DQ112,A372510,05/13/2018,05/24/2018,11,STRAY,FIELD,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1,
,CAT,DOMESTIC SH,WHITE/BRN TABBY,Unknown,KITTN,,K18-029115,RECEIVING,A374729,07/14/2018,07/14/2018,0,STRAY,FIELD,EUTHANIZE,FERAL,UNTREATABLE,UNTREATABLE,COUNTY,,,,1,
,CAT,DOMESTIC SH,BRN TABBY/WHITE,Unknown,KITTN,,K18-029116,RECEIVING,A374730,07/14/2018,07/14/2018,0,STRAY,FIELD,EUTHANIZE,FERAL,UNTREATABLE,UNTREATABLE,COUNTY,,,,1,
,DOG,PIT BULL,TAN/WHITE,Female,MED,04/27/2013,K18-028042,DS85,A371262,04/27/2018,05/24/2018,27,STRAY,FIELD,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1,
RAIDER,DOG,PIT BULL,GRAY/WHITE,Neutered,LARGE,,K18-029822,TRUCK,A375933,09/10/2018,09/10/2018,0,CONFISCATE,FLD_EVICT,EUTHANIZE,ILL SEVERE,UNKNOWN,UNTREATABLE,COUNTY,,,,1,
,OTHER,BAT,BLACK,Unknown,SMALL,,K19-031303,EUTH,A384042,01/27/2019,01/31/2019,4,QUARANTINE,FLD_STRAY,TRANSFER,LAB FRA,UNKNOWN,UNTREATABLE,COUNTY,,,,1,
,CAT,DOMESTIC LH,BRN TABBY/WHITE,Unknown,KITTN,05/21/2018,K18-028738,RECEIVING,A374191,06/21/2018,06/21/2018,0,STRAY,OVER THE COUNTER,EUTHANIZE,FRA,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1,
*TERRA,DOG,PIT BULL,TAN/WHITE,Female,LARGE,,K19-031595,DS76,A384702,03/04/2019,,0,STRAY,FIELD,,,UNKNOWN,,COUNTY,,,,1,
,OTHER,BAT,BROWN,Unknown,SMALL,,K18-029133,TRUCK,A374757,07/16/2018,07/16/2018,0,QUARANTINE,FLD_STRAY,TRANSFER,LAB FRA,UNKNOWN,DEAD,SANTA ROSA,,,,1,
,OTHER,BAT,BLACK,Unknown,SMALL,,K18-029130,TRUCK,A374750,07/15/2018,07/16/2018,1,QUARANTINE,FLD_STRAY,TRANSFER,LAB FRA,UNKNOWN,DEAD,COUNTY,,,,1,
,CAT,DOMESTIC LH,BRN TABBY,Unknown,SMALL,,K18-028386,COOLER,A372814,05/24/2018,05/25/2018,1,STRAY,FIELD,DISPOSAL,DOA,UNKNOWN,DEAD,SANTA ROSA,,,,1,
,CAT,DOMESTIC SH,GRAY,Female,SMALL,04/30/2018,K18-030447,CI02,A379073,10/30/2018,11/13/2018,14,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1,
,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,,K18-028407,TX,A372908,05/25/2018,05/25/2018,0,STRAY,FIELD,EUTHANIZE,INJ SEVERE,UNKNOWN,UNTREATABLE,COUNTY,,,,1,
,CAT,DOMESTIC SH,BRN TABBY/WHITE,Unknown,KITTN,05/21/2018,K18-028737,RECEIVING,A374190,06/21/2018,06/21/2018,0,STRAY,OVER THE COUNTER,EUTHANIZE,FRA,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1,
,CAT,SIAMESE,SEAL PT,Male,SMALL,09/05/2015,K16-017322,CS06,A331524,01/04/2016,01/12/2016,8,STRAY,FIELD,TRANSFER,FORGOTTEN,HEALTHY,HEALTHY,WINDSOR,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
*MAX,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,07/21/2018,K18-029945,CI01,A376233,09/21/2018,11/13/2018,53,STRAY,COMM CAT,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1,
,DOG,CHIHUAHUA SH,BLACK/TAN,Male,TOY,,K18-028277,DS58,A372605,05/17/2018,05/26/2018,9,STRAY,OVER THE COUNTER,EUTHANIZE,BEH SEVERE,UNKNOWN,UNTREATABLE,SANTA ROSA,,,,1,
GORDY,DOG,PARSON RUSS TER,TRICOLOR,Neutered,MED,05/08/2009,K18-028058,DA46,A371306,04/29/2018,05/26/2018,27,STRAY,FIELD,ADOPTION,FINDER,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,,,1,
,CAT,DOMESTIC SH,GRAY TABBY/WHITE,Female,KITTN,,K18-028413,RECEIVING,A372952,05/26/2018,05/26/2018,0,STRAY,OVER THE COUNTER,EUTHANIZE,CON SEVERE,UNKNOWN,UNTREATABLE,COUNTY,,,,1,
*RANDY,DOG,CHIHUAHUA SH,TAN,Neutered,SMALL,05/17/2010,K18-028090,DA22,A372090,05/02/2018,05/26/2018,24,STRAY,FIELD,EUTHANIZE,ILL SEVERE,TREATABLE/MANAGEABLE,UNTREATABLE,SANTA ROSA,,,,1,
,OTHER,BAT,BLACK,Unknown,SMALL,,K18-029856,EUTH,A375997,09/12/2018,09/12/2018,0,QUARANTINE,FLD_STRAY,EUTHANIZE,FRA,UNTREATABLE,UNTREATABLE,COUNTY,,,,1,
,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,SMALL,,K18-028750,TRUCK,A374207,06/22/2018,06/22/2018,0,STRAY,FIELD,EUTHANIZE,ILL SEVERE,UNKNOWN,DEAD,WINDSOR,,,,1,
,DOG,CHIHUAHUA SH,TAN,Female,SMALL,,K18-028752,TRUCK,A374209,06/22/2018,06/22/2018,0,STRAY,FIELD,EUTHANIZE,ILL SEVERE,UNKNOWN,UNTREATABLE,COUNTY,,,,1,
,OTHER,BAT,BLACK,Unknown,SMALL,,K18-030605,PHLAB,A379683,11/12/2018,11/13/2018,1,QUARANTINE,OVER THE COUNTER_STRAY,EUTHANIZE,FRA,UNTREATABLE,DEAD,COUNTY,,,,1,
,CAT,SIAMESE,WHITE,Unknown,SMALL,,K18-028731,TRUCK,A374178,06/21/2018,06/22/2018,1,STRAY,FIELD,TRANSFER,HSSC,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,,,,1,
,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,07/28/2004,K18-029259,SMM,A375012,07/28/2018,08/14/2018,17,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNKNOWN,UNTREATABLE,COUNTY,,,,1,
*KATE,CAT,DOMESTIC LH,BLACK,Female,KITTN,07/21/2018,K18-029947,CI01,A376235,09/21/2018,11/14/2018,54,STRAY,COMM CAT,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1,
LULU,DOG,CHIHUAHUA SH,BLACK/TAN,Spayed,TOY,08/02/2009,K18-028623,DS94,A356375,06/12/2018,06/23/2018,11,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNKNOWN,UNTREATABLE,SANTA ROSA,,,,1,
,DOG,PLOTT HOUND/MIX,BR BRINDLE/WHITE,Female,MED,,K18-030795,DS74,A381619,12/04/2018,12/22/2018,18,STRAY,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,WINDSOR,,,,1,
MISTY,CAT,DOMESTIC SH,WHITE/GRAY,Spayed,SMALL,01/17/2004,K19-031220,CS05,A383590,01/17/2019,02/01/2019,15,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,WINDSOR,,,,1,
BEAR BUDDY,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,07/22/2010,K19-031262,SMM,A254472,01/23/2019,02/01/2019,9,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1,
,CAT,DOMESTIC SH,GRAY/WHITE,Unknown,KITTN,,K18-029162,RECEIVING,A374811,07/18/2018,07/18/2018,0,STRAY,OVER THE COUNTER,EUTHANIZE,INJ SEVERE,UNTREATABLE,UNTREATABLE,WINDSOR,,,,1,
PHUFI,DOG,CHIHUAHUA SH,WHITE,Neutered,TOY,08/02/2005,K18-028622,DS94,A356374,06/12/2018,06/23/2018,11,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNKNOWN,UNTREATABLE,SANTA ROSA,,,,1,
,CAT,DOMESTIC SH,BRN TABBY/WHITE,Male,SMALL,,K18-030077,SMM,A377171,10/01/2018,10/13/2018,12,STRAY,FIELD,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1,
SIERRA,DOG,CATAHOULA/MIX,GRAY,Female,MED,11/29/2016,K18-029742,DS63,A361537,09/05/2018,09/12/2018,7,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1,
*MARIA,CAT,DOMESTIC MH,WHITE,Female,SMALL,05/30/2015,K18-028318,CS05,A372638,05/18/2018,05/30/2018,12,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNKNOWN,UNTREATABLE,SANTA ROSA,,,,1,
COOPER,CAT,DOMESTIC LH,GRAY TABBY/WHITE,Neutered,SMALL,04/23/2008,K19-031676,CS06,A215229,03/12/2019,03/20/2019,8,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,*HEALDSBURG,,,,1,
*MARY,CAT,DOMESTIC SH,BLACK,Female,KITTN,07/21/2018,K18-029946,CI01,A376234,09/21/2018,11/14/2018,54,STRAY,COMM CAT,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1,
,CAT,DOMESTIC SH,TORTIE/BLUE CREAM,Female,SMALL,,K18-030120,SMM,A377245,10/04/2018,10/13/2018,9,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1,
,CAT,DOMESTIC LH,BRN TABBY,Neutered,SMALL,,K18-030627,RECEIVING,A379785,11/14/2018,11/14/2018,0,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1,
,OTHER,CHICKEN,RED/BLACK,Male,MED,,K18-028791,FREEZER,A374259,06/25/2018,,0,CONFISCATE,FLD_CRUEL,,,UNKNOWN,,COUNTY,,,,1,
,OTHER,BAT,BLACK,Unknown,SMALL,,K18-028772,TRUCK,A374242,06/25/2018,06/25/2018,0,QUARANTINE,FLD_STRAY,EUTHANIZE,FRA,UNKNOWN,UNTREATABLE,SANTA ROSA,,,,1,
KODA,DOG,SIBERIAN HUSKY,WHITE/BROWN,Male,MED,,K17-026783,DQ113,A366424,12/23/2017,07/19/2018,208,STRAY,FIELD,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1,
,DOG,SIBERIAN HUSKY/LABRADOR RETR,WHITE/BLACK,Male,LARGE,,K18-029173,DS79,A374848,07/20/2018,08/15/2018,26,STRAY,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1,
,DOG,PIT BULL,BLACK,Male,LARGE,,K18-029358,DQ113,A375168,08/04/2018,08/15/2018,11,STRAY,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,UNKNOWN,UNTREATABLE,SANTA ROSA,,,,1,
,CAT,DOMESTIC SH,ORG TABBY,Unknown,SMALL,,K18-030226,COOLER,A377588,10/13/2018,10/14/2018,1,STRAY,FIELD,DISPOSAL,DOA,UNKNOWN,DEAD,SANTA ROSA,,,,1,
WHITE,CAT,DOMESTIC SH,WHITE,Male,SMALL,,K18-029866,RECEIVING,A376032,09/13/2018,09/13/2018,0,STRAY,OVER THE COUNTER,EUTHANIZE,CON SEVERE,UNKNOWN,UNTREATABLE,COUNTY,,,,1,
,CAT,DOMESTIC SH,BLACK,Unknown,KITTN,,K18-029869,RECEIVING,A376036,09/13/2018,09/13/2018,0,STRAY,COMM CAT,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1,
BLACK,CAT,DOMESTIC SH,BLACK,Unknown,KITTN,,K18-029872,RECEIVING,A376046,09/13/2018,09/13/2018,0,STRAY,OVER THE COUNTER,EUTHANIZE,CON SEVERE,UNKNOWN,UNTREATABLE,COUNTY,,,,1,
,CAT,DOMESTIC SH,BLACK,Unknown,KITTN,,K18-029865,RECEIVING,A376028,09/13/2018,09/13/2018,0,STRAY,OVER THE COUNTER,EUTHANIZE,CON SEVERE,UNKNOWN,UNTREATABLE,COUNTY,,,,1,
,CAT,DOMESTIC SH,GRAY/WHITE,Female,SMALL,,K19-031738,SMM,A385051,03/21/2019,03/21/2019,0,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNKNOWN,UNTREATABLE,SANTA ROSA,,,,1,
,CAT,DOMESTIC LH,WHITE/BROWN,Neutered,SMALL,,K18-028771,TX,A374241,06/25/2018,06/26/2018,1,STRAY,FIELD,EUTHANIZE,INJ SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1,
BOGEY,DOG,BORDER COLLIE,BLACK/WHITE,Neutered,MED,08/05/2012,K18-030263,DS83,A309775,10/16/2018,11/15/2018,30,CONFISCATE,FLD_ARREST,TRANSFER,MILO FOUND,HEALTHY,HEALTHY,SANTA ROSA,,,,1,
,OTHER,CHICKEN,RED,Female,SMALL,,K18-028492,TRUCK,A373233,06/01/2018,06/01/2018,0,STRAY,FIELD,EUTHANIZE,INJ SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1,
,OTHER,BAT,BROWN,Unknown,SMALL,,K18-029175,EUTH,A374851,07/20/2018,07/20/2018,0,QUARANTINE,OVER THE COUNTER_STRAY,EUTHANIZE,FRA,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1,
,DOG,LHASA APSO,GRAY/WHITE,Female,SMALL,,K18-029041,DA25,A374580,07/10/2018,07/20/2018,10,CONFISCATE,FLD_CRUEL,EUTHANIZE,ILL SEVERE,UNKNOWN,UNTREATABLE,COUNTY,,,,1,
WALKER,DOG,PIT BULL/MIX,BR BRINDLE,Neutered,LARGE,07/24/2014,K18-030111,DS60,A374428,10/03/2018,11/15/2018,43,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,HEALTHY,UNTREATABLE,COUNTY,,,,1,
,DOG,CHIHUAHUA LH,WHITE,Male,SMALL,,K17-022161,DS51,A347009,01/09/2017,01/25/2017,16,STRAY,FIELD,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1,
TINKERBELL,CAT,DOMESTIC MH,CALICO/CALICO,Spayed,SMALL,09/04/2009,K18-029423,CS05,A375264,08/10/2018,09/14/2018,35,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,WINDSOR,,,,1,
,CAT,DOMESTIC SH,BLACK,Unknown,SMALL,05/08/2018,K18-029814,CS06,A375919,09/08/2018,09/14/2018,6,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1,
PRINCESS,DOG,CHIHUAHUA SH,BLACK/TAN,Female,TOY,,K18-028449,DS89,A227378,05/29/2018,06/02/2018,4,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNKNOWN,UNTREATABLE,SANTA ROSA,,,,1,
,DOG,CHIHUAHUA SH,BLACK/TAN,Male,TOY,,K18-028395,DS93,A372839,05/24/2018,06/02/2018,9,STRAY,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,UNKNOWN,UNTREATABLE,WINDSOR,,,,1,
,DOG,SHIH TZU,WHITE/GRAY,Female,SMALL,,K18-029014,DS87,A374553,07/09/2018,07/21/2018,12,STRAY,FIELD,EUTHANIZE,ILL SEVERE,HEALTHY,UNTREATABLE,SANTA ROSA,,,,1,
,CAT,DOMESTIC SH,BLACK,Unknown,SMALL,05/02/2018,K18-028508,COOLER,A373301,06/02/2018,06/03/2018,1,STRAY,FIELD,DISPOSAL,DOA,UNTREATABLE,DEAD,SANTA ROSA,,,,1,
,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,KITTN,,K18-028798,CS06,A374273,06/26/2018,06/27/2018,1,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNKNOWN,UNTREATABLE,WINDSOR,,,,1,
,CAT,DOMESTIC SH,BLACK/WHITE,Unknown,KITTN,,K18-029887,RECEIVING,A376082,09/14/2018,09/14/2018,0,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1,
,CAT,DOMESTIC SH,BRN TABBY,Unknown,KITTN,,K18-028799,CS06,A374274,06/26/2018,06/27/2018,1,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNKNOWN,UNTREATABLE,WINDSOR,,,,1,
,CAT,DOMESTIC SH,TORTIE,Female,KITTN,,K18-028800,CS06,A374276,06/26/2018,06/27/2018,1,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNKNOWN,UNTREATABLE,WINDSOR,,,,1,
,CAT,DOMESTIC SH,BRN TABBY,Unknown,SMALL,,K16-017956,RECEIVING,A333725,03/02/2016,03/02/2016,0,STRAY,OVER THE COUNTER,EUTHANIZE,INJ SEVERE,UNTREATABLE,UNTREATABLE,WINDSOR,,,,1,
,CAT,DOMESTIC SH,FLAME PT,Female,SMALL,,K18-028520,TRUCK,A373369,06/04/2018,06/04/2018,0,STRAY,FIELD,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1,
,DOG,PIT BULL,BR BRINDLE/WHITE,Female,MED,,K18-028521,DS76,A373371,06/04/2018,06/27/2018,23,STRAY,FIELD,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1,
,CAT,DOMESTIC SH,CALICO,Female,KITTN,,K18-028801,CS06,A374277,06/26/2018,06/27/2018,1,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNKNOWN,UNTREATABLE,WINDSOR,,,,1,
MILO,DOG,SIBERIAN HUSKY,BLACK/WHITE,Male,PUPPY,08/22/2018,K19-031702,,A384724,03/15/2019,,0,OWNER SURRENDER,OVER THE COUNTER,,,TREATABLE/REHAB,,SANTA ROSA,,,,1,
,DOG,CHIHUAHUA SH,TAN,Neutered,TOY,08/15/2003,K18-029490,SMM,A375398,08/15/2018,08/16/2018,1,STRAY,FIELD,EUTHANIZE,ILL SEVERE,TREATABLE/MANAGEABLE,UNTREATABLE,COUNTY,,,,1,
SPARKY,DOG,PIT BULL/BOXER,WHITE/RED,Neutered,MED,02/01/2014,K18-029331,DS64,A326019,08/02/2018,08/16/2018,14,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,WINDSOR,,,,1,
